"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 12:08:33 GMT 2022","Fri Sep 30 12:08:34 GMT 2022","1000","firefox","example1.spec.js","","","","Test 4 -> @Smoke",""
"passed","Fri Sep 30 12:08:28 GMT 2022","Fri Sep 30 12:08:31 GMT 2022","2572","firefox","example1.spec.js","","","","Test 1 -> @Smoke",""
"passed","Fri Sep 30 12:08:22 GMT 2022","Fri Sep 30 12:08:24 GMT 2022","1397","chrome","example1.spec.js","","","","Test 1 -> @Smoke",""
"passed","Fri Sep 30 12:08:25 GMT 2022","Fri Sep 30 12:08:26 GMT 2022","942","chrome","example1.spec.js","","","","Test 4 -> @Smoke",""
"passed","Fri Sep 30 12:08:25 GMT 2022","Fri Sep 30 12:08:25 GMT 2022","533","chrome","example1.spec.js","","","","Test 3 -> @Smoke",""
"passed","Fri Sep 30 12:08:34 GMT 2022","Fri Sep 30 12:08:35 GMT 2022","838","firefox","example1.spec.js","","","","Test 5 -> @Smoke",""
"passed","Fri Sep 30 12:08:32 GMT 2022","Fri Sep 30 12:08:33 GMT 2022","1554","firefox","example1.spec.js","","","","Test 3 -> @Smoke",""
"passed","Fri Sep 30 12:08:35 GMT 2022","Fri Sep 30 12:08:36 GMT 2022","1028","firefox","example2.spec.js","","","","@Smoke",""
"passed","Fri Sep 30 12:08:31 GMT 2022","Fri Sep 30 12:08:32 GMT 2022","854","firefox","example1.spec.js","","","","Test 2 ->  @Smoke",""
"passed","Fri Sep 30 12:08:24 GMT 2022","Fri Sep 30 12:08:25 GMT 2022","975","chrome","example1.spec.js","","","","Test 2 ->  @Smoke",""
"passed","Fri Sep 30 12:08:27 GMT 2022","Fri Sep 30 12:08:28 GMT 2022","909","chrome","example2.spec.js","","","","@Smoke",""
"passed","Fri Sep 30 12:08:26 GMT 2022","Fri Sep 30 12:08:27 GMT 2022","809","chrome","example1.spec.js","","","","Test 5 -> @Smoke",""
